04/08/201000:00:03, SHA1946P, 1562124, 103.81277, 1.28124, 27, FREE
04/08/201000:00:09, SHA1946P, 1562124, 103.81325, 1.28121, 37, FREE
04/08/201000:00:14, SHA1946P, 1562124, 103.81358, 1.28114, 43, FREE
04/08/201000:00:19, SHA1946P, 1562124, 103.81427, 1.28107, 44, FREE
04/08/201000:00:29, SHA1946P, 1562124, 103.81554, 1.28097, 56, FREE
04/08/201000:00:34, SHA1946P, 1562124, 103.81646, 1.28081, 53, FREE
04/08/201000:00:39, SHA1946P, 1562124, 103.81669, 1.28067, 54, FREE
04/08/201000:00:43, SHA1946P, 1562124, 103.81725, 1.2802, 20, FREE
04/08/201000:01:59, SHA1946P, 1562124, 103.81726, 1.28018, 0, FREE
04/08/201000:02:04, SHA1946P, 1562124, 103.81748, 1.28, 21, FREE
04/08/201000:02:13, SHA1946P, 1562124, 103.81706, 1.27892, 19, FREE
04/08/201000:02:20, SHA1946P, 1562124, 103.81696, 1.27877, 24, FREE
04/08/201000:02:28, SHA1946P, 1562124, 103.81657, 1.27775, 49, FREE
04/08/201000:02:34, SHA1946P, 1562124, 103.8163, 1.27714, 56, FREE
04/08/201000:02:38, SHA1946P, 1562124, 103.81602, 1.27663, 58, FREE
04/08/201000:02:43, SHA1946P, 1562124, 103.8154, 1.27573, 63, FREE
04/08/201000:02:48, SHA1946P, 1562124, 103.81492, 1.27506, 66, FREE
04/08/201000:02:58, SHA1946P, 1562124, 103.81375, 1.27383, 69, FREE
04/08/201000:03:13, SHA1946P, 1562124, 103.81303, 1.27332, 67, FREE
04/08/201000:03:23, SHA1946P, 1562124, 103.81203, 1.27247, 0, FREE
04/08/201000:03:28, SHA1946P, 1562124, 103.81198, 1.27238, 22, FREE
04/08/201000:03:33, SHA1946P, 1562124, 103.81178, 1.27206, 35, FREE
04/08/201000:03:38, SHA1946P, 1562124, 103.81164, 1.2718, 40, FREE
04/08/201000:03:48, SHA1946P, 1562124, 103.8119, 1.27067, 41, FREE
04/08/201000:03:53, SHA1946P, 1562124, 103.81217, 1.27048, 45, FREE
04/08/201000:03:58, SHA1946P, 1562124, 103.81257, 1.27021, 48, FREE
04/08/201000:04:03, SHA1946P, 1562124, 103.81341, 1.26963, 47, FREE
04/08/201000:04:08, SHA1946P, 1562124, 103.81381, 1.26942, 46, FREE
04/08/201000:04:13, SHA1946P, 1562124, 103.81436, 1.26909, 50, FREE
04/08/201000:04:18, SHA1946P, 1562124, 103.8151, 1.26875, 53, FREE
04/08/201000:04:23, SHA1946P, 1562124, 103.81577, 1.26855, 58, FREE
04/08/201000:04:28, SHA1946P, 1562124, 103.81628, 1.26828, 56, FREE
04/08/201000:04:33, SHA1946P, 1562124, 103.81709, 1.2678, 68, FREE
04/08/201000:04:38, SHA1946P, 1562124, 103.81789, 1.2672, 62, FREE
04/08/201000:04:47, SHA1946P, 1562124, 103.81881, 1.26655, 57, FREE
04/08/201000:04:59, SHA1946P, 1562124, 103.81927, 1.26625, 51, FREE
04/08/201000:05:04, SHA1946P, 1562124, 103.82051, 1.26576, 41, FREE
04/08/201000:05:16, SHA1946P, 1562124, 103.82132, 1.26574, 43, FREE
04/08/201000:05:23, SHA1946P, 1562124, 103.82281, 1.26583, 50, FREE
04/08/201000:05:33, SHA1946P, 1562124, 103.82402, 1.26594, 53, FREE
